actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,wheel_contact_0,wheel_contact_1,wheel_contact_2,wheel_contact_3,wheel_contact_4,wheel_contact_5,wheel_contact_6,wheel_contact_7
-9.301888616122269e-19,-9.301888616122269e-19,-8.18452475873612e-21,-8.18452475873612e-21,4.781918419697122e-19,4.781918419697122e-19,3.841532168543335e-19,3.841532168543335e-19,-1.162725194897401e-20,-1.1627251948973992e-20,-1.162725194897401e-20,-1.1627251948973992e-20,9.758601501293522e-21,9.758601501293577e-21,9.758601501293522e-21,9.758601501293577e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-9.697029250106934e-19,-9.697029250106934e-19,-8.139950314528682e-21,-8.139950314528682e-21,4.978297407716042e-19,4.978297407716042e-19,4.002154521589881e-19,4.002154521589881e-19,-1.2450607695949675e-20,-1.2450607695949639e-20,-1.2450607695949675e-20,-1.2450607695949639e-20,1.0327949544173081e-20,1.0327949544173138e-20,1.0327949544173081e-20,1.0327949544173138e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.0090604328843785e-18,-1.0090604328843785e-18,-8.095476700241195e-21,-8.095476700241195e-21,5.17389926710991e-19,5.17389926710991e-19,4.1621414410636586e-19,4.1621414410636586e-19,-1.3052515174875168e-20,-1.305251517487514e-20,-1.3052515174875168e-20,-1.305251517487514e-20,1.0742229687457338e-20,1.0742229687457398e-20,1.0742229687457338e-20,1.0742229687457398e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.0482619434785746e-18,-1.0482619434785746e-18,-8.051143846771925e-21,-8.051143846771925e-21,5.368727309534169e-19,5.368727309534169e-19,4.321495279219503e-19,4.321495279219503e-19,-1.3488103961756512e-20,-1.3488103961756492e-20,-1.3488103961756512e-20,-1.3488103961756492e-20,1.1040149088026914e-20,1.1040149088026977e-20,1.1040149088026914e-20,1.1040149088026977e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.0873080336962216e-18,-1.0873080336962216e-18,-8.006978155897073e-21,-8.006978155897073e-21,5.562784759752286e-19,5.562784759752286e-19,4.480218429947193e-19,4.480218429947193e-19,-1.3798971774916808e-20,-1.3798971774916793e-20,-1.3798971774916808e-20,-1.3798971774916793e-20,1.1250880230299648e-20,1.1250880230299714e-20,1.1250880230299648e-20,1.1250880230299714e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.1261992919621722e-18,-1.1261992919621722e-18,-7.962997046816649e-21,-7.962997046816649e-21,5.756074779192491e-19,5.756074779192491e-19,4.638313312293749e-19,4.638313312293749e-19,-1.4016440699389673e-20,-1.401644069938964e-20,-1.4016440699389673e-20,-1.401644069938964e-20,1.1396366940606648e-20,1.1396366940606716e-20,1.1396366940606648e-20,1.1396366940606716e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.1649363135397602e-18,-1.1649363135397602e-18,-7.919211952693272e-21,-7.919211952693272e-21,5.948600481991862e-19,5.948600481991862e-19,4.795782359414602e-19,4.795782359414602e-19,-1.4164053951762267e-20,-1.4164053951762243e-20,-1.4164053951762267e-20,-1.4164053951762243e-20,1.1493088578224509e-20,1.1493088578224576e-20,1.1493088578224509e-20,1.1493088578224576e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.2035196974482187e-18,-1.2035196974482187e-18,-7.875630301716782e-21,-7.875630301716782e-21,6.140364945953145e-19,6.140364945953145e-19,4.952628011125716e-19,4.952628011125716e-19,-1.4259481253922792e-20,-1.4259481253922774e-20,-1.4259481253922792e-20,-1.4259481253922774e-20,1.1553403660655728e-20,1.1553403660655796e-20,1.1553403660655728e-20,1.1553403660655796e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.2419500444278527e-18,-1.2419500444278527e-18,-7.83225683128263e-21,-7.83225683128263e-21,6.331371220054322e-19,6.331371220054322e-19,5.108852708857488e-19,5.108852708857488e-19,-1.4315967195519693e-20,-1.431596719551968e-20,-1.4315967195519693e-20,-1.431596719551968e-20,1.1586569416445887e-20,1.1586569416445954e-20,1.1586569416445887e-20,1.1586569416445954e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
7.2411843173045685e-06,7.24118431730372e-06,1.3786428584860627e-06,1.37864285848801e-06,1.1407105873006013e-05,1.1407105873006337e-05,-9.211189915141519e-06,-9.211189915138856e-06,-0.005386786196855948,-0.005421143981017602,-0.005386786196863869,-0.0054211439810131455,0.011611641252736848,0.011544539872469667,0.011611641252736777,0.011544539872469445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
